Step,Time,Population
293,0.293,2.96527917342692
294,0.294,2.96855332343211
295,0.295,2.97180193016425
296,0.296,2.97502512932951
297,0.297,2.97822305706238
298,0.298,2.98139584990015
299,0.299,2.98454364475775
300,0.3,2.98766657890293
301,0.301,2.99076478993188
302,0.302,2.99383841574511
303,0.303,2.99688759452379
304,0.304,2.9999124647064
305,0.305,3.00291316496576
306,0.306,3.00588983418644
307,0.307,3.00884261144251
308,0.308,3.01177163597564
309,0.309,3.01467704717359
310,0.31,3.01755898454906
311,0.311,3.02041758771885
312,0.312,3.02325299638344
313,0.313,3.02606535030685
314,0.314,3.02885478929693
315,0.315,3.03162145318596
316,0.316,3.03436548181157
317,0.317,3.03708701499806
318,0.318,3.03978619253803
319,0.319,3.04246315417437
320,0.32,3.04511803958259
321,0.321,3.04775098835344
322,0.322,3.05036213997595
323,0.323,3.05295163382071
324,0.324,3.05551960912358
325,0.325,3.05806620496959
326,0.326,3.06059156027736
327,0.327,3.06309581378361
328,0.328,3.06557910402819
329,0.329,3.06804156933931
330,0.33,3.07048334781912
331,0.331,3.07290457732961
332,0.332,3.07530539547878
333,0.333,3.07768593960719
334,0.334,3.08004634677469
335,0.335,3.0823867537476
336,0.336,3.08470729698604
337,0.337,3.08700811263166
338,0.338,3.08928933649562
339,0.339,3.09155110404682
340,0.34,3.09379355040049
341,0.341,3.09601681030699
342,0.342,3.09822101814095
343,0.343,3.10040630789061
344,0.344,3.10257281314749
345,0.345,3.10472066709632
346,0.346,3.1068500025052
347,0.347,3.10896095171605
348,0.348,3.11105364663533
349,0.349,3.11312821872495
350,0.35,3.11518479899354
351,0.351,3.11722351798783
352,0.352,3.11924450578442
353,0.353,3.12124789198167
354,0.354,3.12323380569188
355,0.355,3.12520237553375
356,0.356,3.12715372962496
357,0.357,3.12908799557509
358,0.358,3.13100530047869
359,0.359,3.1329057709086
360,0.36,3.1347895329095
361,0.361,3.13665671199168
362,0.362,3.13850743312495
363,0.363,3.14034182073286
364,0.364,3.14215999868706
365,0.365,3.14396209030188
366,0.366,3.14574821832913
367,0.367,3.14751850495306
368,0.368,3.14927307178553
369,0.369,3.15101203986136
370,0.37,3.15273552963392
371,0.371,3.15444366097081
372,0.372,3.1561365531498
373,0.373,3.15781432485492
374,0.374,3.15947709417269
375,0.375,3.16112497858861
376,0.376,3.16275809498373
377,0.377,3.16437655963141
378,0.378,3.16598048819429
379,0.379,3.16756999572135
380,0.38,3.16914519664518
381,0.381,3.17070620477938
382,0.382,3.17225313331609
383,0.383,3.17378609482375
384,0.384,3.1753052012449
385,0.385,3.17681056389419
386,0.386,3.17830229345652
387,0.387,3.17978049998531
388,0.388,3.18124529290091
389,0.389,3.1826967809891
390,0.39,3.18413507239984
391,0.391,3.18556027464598
392,0.392,3.18697249460223
393,0.393,3.1883718385042
394,0.394,3.18975841194754
395,0.395,3.19113231988725
396,0.396,3.19249366663703
397,0.397,3.19384255586885
398,0.398,3.1951790906125
399,0.399,3.19650337325536
400,0.4,3.19781550554222
401,0.401,3.19911558857518
402,0.402,3.20040372281374
403,0.403,3.20168000807488
404,0.404,3.20294454353331
405,0.405,3.20419742772179
406,0.406,3.20543875853155
407,0.407,3.20666863321278
408,0.408,3.20788714837521
409,0.409,3.20909439998883
410,0.41,3.2102904833846
411,0.411,3.21147549325532
412,0.412,3.21264952365653
413,0.413,3.21381266800755
414,0.414,3.21496501909249
415,0.415,3.21610666906145
416,0.416,3.21723770943172
417,0.417,3.21835823108906
418,0.418,3.2194683242891
419,0.419,3.22056807865869
420,0.42,3.22165758319745
421,0.421,3.2227369262793
422,0.422,3.22380619565408
423,0.423,3.22486547844921
424,0.424,3.22591486117142
425,0.425,3.22695442970856
426,0.426,3.22798426933139
427,0.427,3.22900446469556
428,0.428,3.23001509984344
429,0.429,3.23101625820622
430,0.43,3.23200802260591
431,0.431,3.2329904752574
432,0.432,3.23396369777066
433,0.433,3.23492777115287
434,0.434,3.23588277581067
435,0.435,3.23682879155241
436,0.436,3.23776589759047
437,0.437,3.23869417254357
438,0.438,3.23961369443921
439,0.439,3.240524540716
440,0.44,3.24142678822622
441,0.441,3.24232051323819
442,0.442,3.24320579143887
443,0.443,3.24408269793639
444,0.444,3.24495130726261
445,0.445,3.24581169337572
446,0.446,3.24666392966291
447,0.447,3.24750808894302
448,0.448,3.2483442434692
449,0.449,3.24917246493165
450,0.45,3.24999282446036
451,0.451,3.25080539262783
452,0.452,3.25161023945189
453,0.453,3.25240743439849
454,0.454,3.25319704638448
455,0.455,3.25397914378051
456,0.456,3.25475379441384
457,0.457,3.25552106557122
458,0.458,3.2562810240018
459,0.459,3.25703373592
460,0.46,3.25777926700843
461,0.461,3.25851768242087
462,0.462,3.25924904678513
463,0.463,3.25997342420607
464,0.464,3.26069087826854
465,0.465,3.26140147204036
466,0.466,3.26210526807528
467,0.467,3.26280232841602
468,0.468,3.26349271459723
469,0.469,3.26417648764851
470,0.47,3.26485370809745
471,0.471,3.26552443597259
472,0.472,3.26618873080651
473,0.473,3.26684665163883
474,0.474,3.26749825701925
475,0.475,3.26814360501057
476,0.476,3.26878275319176
477,0.477,3.26941575866099
478,0.478,3.27004267803866
479,0.479,3.27066356747046
480,0.48,3.27127848263043
481,0.481,3.27188747872397
482,0.482,3.27249061049092
483,0.483,3.27308793220857
484,0.484,3.27367949769475
485,0.485,3.27426536031082
486,0.486,3.27484557296473
487,0.487,3.27542018811408
488,0.488,3.2759892577691
489,0.489,3.27655283349574
490,0.49,3.27711096641863
491,0.491,3.27766370722415
492,0.492,3.27821110616343
493,0.493,3.27875321305535
494,0.494,3.27929007728954
495,0.495,3.2798217478294
496,0.496,3.28034827321509
497,0.497,3.28086970156649
498,0.498,3.28138608058618
499,0.499,3.28189745756245
500,0.5,3.28240387937221
501,0.501,3.28290539248398
502,0.502,3.28340204296082
503,0.503,3.28389387646327
504,0.504,3.28438093825228
505,0.505,3.28486327319214
506,0.506,3.28534092575336
507,0.507,3.2858139400156
508,0.508,3.28628235967056
509,0.509,3.28674622802482
510,0.51,3.28720558800276
511,0.511,3.2876604821494
512,0.512,3.28811095263323
513,0.513,3.28855704124908
514,0.514,3.28899878942093
515,0.515,3.2894362382047
516,0.516,3.2898694282911
517,0.517,3.2902984000084
518,0.518,3.29072319332519
519,0.519,3.29114384785318
520,0.52,3.29156040284993
521,0.521,3.2919728972216
522,0.522,3.29238136952569
523,0.523,3.29278585797374
524,0.524,3.29318640043407
525,0.525,3.2935830344344
