Step,Time,NA,NB
280,28.0000000000001,50.1746912684265,49.8253087315735
281,28.1000000000001,50.171197443058,49.828802556942
282,28.2000000000001,50.1677734941969,49.8322265058031
283,28.3000000000001,50.1644180243129,49.8355819756871
284,28.4000000000001,50.1611296638267,49.8388703361733
285,28.5000000000001,50.1579070705501,49.8420929294499
286,28.6000000000001,50.1547489291391,49.8452510708609
287,28.7000000000001,50.1516539505563,49.8483460494436
288,28.8000000000001,50.1486208715452,49.8513791284548
289,28.9000000000001,50.1456484541143,49.8543515458857
290,29.0000000000001,50.142735485032,49.857264514968
291,29.1000000000001,50.1398807753314,49.8601192246686
292,29.2000000000001,50.1370831598248,49.8629168401752
293,29.3000000000001,50.1343414966283,49.8656585033717
294,29.4000000000001,50.1316546666957,49.8683453333043
295,29.5000000000001,50.1290215733618,49.8709784266382
296,29.6000000000002,50.1264411418945,49.8735588581054
297,29.7000000000002,50.1239123190567,49.8760876809433
298,29.8000000000002,50.1214340726755,49.8785659273245
299,29.9000000000002,50.119005391222,49.880994608778
300,30.0000000000002,50.1166252833976,49.8833747166024
301,30.1000000000002,50.1142927777296,49.8857072222704
302,30.2000000000002,50.112006922175,49.887993077825
303,30.3000000000002,50.1097667837315,49.8902332162685
304,30.4000000000002,50.1075714480569,49.8924285519431
305,30.5000000000002,50.1054200190958,49.8945799809042
306,30.6000000000002,50.1033116187139,49.8966883812861
307,30.7000000000002,50.1012453863396,49.8987546136604
308,30.8000000000002,50.0992204786128,49.9007795213872
309,30.9000000000002,50.0972360690405,49.9027639309595
310,31.0000000000002,50.0952913476597,49.9047086523403
311,31.1000000000002,50.0933855207065,49.9066144792935
312,31.2000000000002,50.0915178102924,49.9084821897076
313,31.3000000000002,50.0896874540865,49.9103125459134
314,31.4000000000002,50.0878937050048,49.9121062949952
315,31.5000000000002,50.0861358309047,49.9138641690953
316,31.6000000000002,50.0844131142866,49.9155868857134
317,31.7000000000002,50.0827248520009,49.9172751479991
318,31.8000000000002,50.0810703549609,49.9189296450391
319,31.9000000000002,50.0794489478617,49.9205510521383
320,32.0000000000002,50.0778599689044,49.9221400310956
321,32.1000000000002,50.0763027695263,49.9236972304737
322,32.2000000000002,50.0747767141358,49.9252232858642
323,32.3000000000002,50.0732811798531,49.9267188201469
324,32.4000000000002,50.071815556256,49.928184443744
325,32.5000000000002,50.0703792451309,49.9296207548691
326,32.6000000000002,50.0689716602283,49.9310283397717
327,32.7000000000002,50.0675922270237,49.9324077729763
328,32.8000000000002,50.0662403824833,49.9337596175167
329,32.9000000000002,50.0649155748336,49.9350844251664
330,33.0000000000002,50.0636172633369,49.9363827366631
331,33.1000000000002,50.0623449180702,49.9376550819298
332,33.2000000000002,50.0610980197088,49.9389019802912
333,33.3000000000002,50.0598760593146,49.9401239406854
334,33.4000000000002,50.0586785381283,49.9413214618717
335,33.5000000000002,50.0575049673657,49.9424950326342
336,33.6000000000002,50.0563548680184,49.9436451319816
337,33.7000000000002,50.0552277706581,49.9447722293419
338,33.8000000000002,50.0541232152449,49.9458767847551
339,33.9000000000002,50.05304075094,49.94695924906
340,34.0000000000002,50.0519799359212,49.9480200640788
341,34.1000000000002,50.0509403372028,49.9490596627972
342,34.2000000000002,50.0499215304587,49.9500784695413
343,34.3000000000002,50.0489230998495,49.9510769001504
344,34.4000000000002,50.0479446378526,49.9520553621474
345,34.5000000000002,50.0469857450955,49.9530142549045
346,34.6000000000002,50.0460460301936,49.9539539698064
347,34.7000000000002,50.0451251095897,49.9548748904103
348,34.8000000000002,50.0442226073979,49.9557773926021
349,34.9000000000002,50.04333815525,49.95666184475
350,35.0000000000002,50.042471392145,49.957528607855
351,35.1000000000002,50.0416219643021,49.9583780356979
352,35.2000000000002,50.040789525016,49.959210474984
353,35.3000000000002,50.0399737345157,49.9600262654843
354,35.4000000000002,50.0391742598254,49.9608257401746
355,35.5000000000002,50.0383907746289,49.9616092253711
356,35.6000000000002,50.0376229591363,49.9623770408637
357,35.7000000000002,50.0368704999536,49.9631295000464
358,35.8000000000002,50.0361330899545,49.9638669100455
359,35.9000000000002,50.0354104281554,49.9645895718446
360,36.0000000000002,50.0347022195923,49.9652977804077
361,36.1000000000002,50.0340081752005,49.9659918247995
362,36.2000000000002,50.0333280116965,49.9666719883035
363,36.3000000000002,50.0326614514625,49.9673385485375
364,36.4000000000002,50.0320082224333,49.9679917775667
365,36.5000000000002,50.0313680579846,49.9686319420154
366,36.6000000000003,50.0307406968249,49.9692593031751
367,36.7000000000003,50.0301258828884,49.9698741171116
368,36.8000000000003,50.0295233652306,49.9704766347694
369,36.9000000000003,50.028932897926,49.971067102074
370,37.0000000000003,50.0283542399675,49.9716457600325
371,37.1000000000003,50.0277871551682,49.9722128448318
372,37.2000000000003,50.0272314120648,49.9727685879352
373,37.3000000000003,50.0266867838235,49.9733132161765
374,37.4000000000003,50.026153048147,49.973846951853
375,37.5000000000003,50.0256299871841,49.9743700128159
376,37.6000000000003,50.0251173874404,49.9748826125596
377,37.7000000000003,50.0246150396916,49.9753849603084
378,37.8000000000003,50.0241227388978,49.9758772611022
379,37.9000000000003,50.0236402841198,49.9763597158802
380,38.0000000000003,50.0231674784374,49.9768325215626
381,38.1000000000003,50.0227041288687,49.9772958711313
382,38.2000000000003,50.0222500462913,49.9777499537087
383,38.3000000000003,50.0218050453655,49.9781949546345
384,38.4000000000003,50.0213689444582,49.9786310555418
385,38.5000000000003,50.020941565569,49.979058434431
386,38.6000000000003,50.0205227342576,49.9794772657424
387,38.7000000000003,50.0201122795725,49.9798877204275
388,38.8000000000003,50.019710033981,49.980289966019
389,38.9000000000003,50.0193158333014,49.9806841666986
390,39.0000000000003,50.0189295166354,49.9810704833646
391,39.1000000000003,50.0185509263027,49.9814490736973
392,39.2000000000003,50.0181799077766,49.9818200922234
393,39.3000000000003,50.0178163096211,49.9821836903789
394,39.4000000000003,50.0174599834287,49.9825400165713
395,39.5000000000003,50.0171107837601,49.9828892162399
396,39.6000000000003,50.0167685680849,49.9832314319151
397,39.7000000000003,50.0164331967232,49.9835668032768
398,39.8000000000003,50.0161045327887,49.9838954672113
399,39.9000000000003,50.0157824421329,49.984217557867
400,40.0000000000003,50.0154667932903,49.9845332067097
401,40.1000000000003,50.0151574574245,49.9848425425755
402,40.2000000000003,50.014854308276,49.985145691724
403,40.3000000000003,50.0145572221105,49.9854427778895
404,40.4000000000003,50.0142660776683,49.9857339223317
405,40.5000000000003,50.0139807561149,49.9860192438851
406,40.6000000000003,50.0137011409926,49.9862988590074
407,40.7000000000003,50.0134271181728,49.9865728818272
408,40.8000000000003,50.0131585758093,49.9868414241907
409,40.9000000000003,50.0128954042931,49.9871045957069
410,41.0000000000003,50.0126374962072,49.9873625037927
411,41.1000000000003,50.0123847462831,49.9876152537169
412,41.2000000000003,50.0121370513574,49.9878629486426
413,41.3000000000003,50.0118943103303,49.9881056896697
414,41.4000000000003,50.0116564241237,49.9883435758763
415,41.5000000000003,50.0114232956412,49.9885767043588
416,41.6000000000003,50.0111948297284,49.9888051702716
417,41.7000000000003,50.0109709331338,49.9890290668662
418,41.8000000000003,50.0107515144711,49.9892484855288
419,41.9000000000003,50.0105364841817,49.9894635158183
420,42.0000000000003,50.0103257544981,49.9896742455019
421,42.1000000000003,50.0101192394081,49.9898807605919
422,42.2000000000003,50.00991685462,49.99008314538
423,42.3000000000003,50.0097185175276,49.9902814824724
424,42.4000000000003,50.009524147177,49.990475852823
425,42.5000000000003,50.0093336642335,49.9906663357665
426,42.6000000000003,50.0091469909488,49.9908530090512
427,42.7000000000003,50.0089640511298,49.9910359488702
428,42.8000000000003,50.0087847701072,49.9912152298928
429,42.9000000000003,50.0086090747051,49.9913909252949
430,43.0000000000003,50.008436893211,49.991563106789
431,43.1000000000003,50.0082681553468,49.9917318446532
432,43.2000000000003,50.0081027922398,49.9918972077602
433,43.3000000000003,50.007940736395,49.992059263605
434,43.4000000000003,50.0077819216671,49.9922180783329
435,43.5000000000003,50.0076262832338,49.9923737167662
436,43.6000000000004,50.0074737575691,49.9925262424309
437,43.7000000000004,50.0073242824177,49.9926757175823
438,43.8000000000004,50.0071777967694,49.9928222032306
439,43.9000000000004,50.007034240834,49.992965759166
440,44.0000000000004,50.0068935560173,49.9931064439827
441,44.1000000000004,50.006755684897,49.993244315103
442,44.2000000000004,50.006620571199,49.993379428801
443,44.3000000000004,50.006488159775,49.9935118402249
444,44.4000000000004,50.0063583965795,49.9936416034205
445,44.5000000000004,50.006231228648,49.993768771352
446,44.6000000000004,50.006106604075,49.993893395925
447,44.7000000000004,50.0059844719935,49.9940155280065
448,44.8000000000004,50.0058647825536,49.9941352174464
449,44.9000000000004,50.0057474869026,49.9942525130974
450,45.0000000000004,50.0056325371645,49.9943674628355
451,45.1000000000004,50.0055198864212,49.9944801135788
452,45.2000000000004,50.0054094886928,49.9945905113072
453,45.3000000000004,50.0053012989189,49.9946987010811
454,45.4000000000004,50.0051952729406,49.9948047270594
455,45.5000000000004,50.0050913674817,49.9949086325182
456,45.6000000000004,50.0049895401321,49.9950104598679
457,45.7000000000004,50.0048897493295,49.9951102506705
458,45.8000000000004,50.0047919543429,49.9952080456571
459,45.9000000000004,50.004696115256,49.995303884744
460,46.0000000000004,50.0046021929509,49.9953978070491
461,46.1000000000004,50.0045101490919,49.9954898509081
462,46.2000000000004,50.00441994611,49.99558005389
463,46.3000000000004,50.0043315471878,49.9956684528122
464,46.4000000000004,50.0042449162441,49.9957550837559
465,46.5000000000004,50.0041600179192,49.9958399820808
466,46.6000000000004,50.0040768175608,49.9959231824392
467,46.7000000000004,50.0039952812096,49.9960047187904
468,46.8000000000004,50.0039153755854,49.9960846244146
469,46.9000000000004,50.0038370680737,49.9961629319263
470,47.0000000000004,50.0037603267122,49.9962396732878
471,47.1000000000004,50.003685120178,49.996314879822
472,47.2000000000004,50.0036114177744,49.9963885822256
473,47.3000000000004,50.0035391894189,49.9964608105811
474,47.4000000000004,50.0034684056306,49.9965315943694
475,47.5000000000004,50.0033990375179,49.996600962482
476,47.6000000000004,50.0033310567676,49.9966689432324
477,47.7000000000004,50.0032644356322,49.9967355643678
478,47.8000000000004,50.0031991469196,49.9968008530804
479,47.9000000000004,50.0031351639812,49.9968648360188
480,48.0000000000004,50.0030724607016,49.9969275392984
481,48.1000000000004,50.0030110114875,49.9969889885125
482,48.2000000000004,50.0029507912578,49.9970492087422
483,48.3000000000004,50.0028917754326,49.9971082245674
484,48.4000000000004,50.002833939924,49.997166060076
485,48.5000000000004,50.0027772611255,49.9972227388745
486,48.6000000000004,50.002721715903,49.997278284097
487,48.7000000000004,50.0026672815849,49.9973327184151
488,48.8000000000004,50.0026139359532,49.9973860640468
489,48.9000000000004,50.0025616572342,49.9974383427658
490,49.0000000000004,50.0025104240895,49.9974895759105
491,49.1000000000004,50.0024602156077,49.9975397843923
492,49.2000000000004,50.0024110112955,49.9975889887045
493,49.3000000000004,50.0023627910696,49.9976372089304
494,49.4000000000004,50.0023155352482,49.9976844647518
495,49.5000000000004,50.0022692245433,49.9977307754567
496,49.6000000000004,50.0022238400524,49.9977761599476
497,49.7000000000004,50.0021793632513,49.9978206367486
498,49.8000000000004,50.0021357759863,49.9978642240137
499,49.9000000000004,50.0020930604666,49.9979069395334
500,50.0000000000004,50.0020511992573,49.9979488007427
