Simulation:,Maximum Range
Trajectory,X,Y
Maximum Range,10164.4987123118,7579.42646645074
Maximum Range,10198.8146449138,7592.63606723054
Maximum Range,10233.1069557434,7605.73857502759
Maximum Range,10267.375730696,7618.73409016699
Maximum Range,10301.6210548993,7631.62271223775
Maximum Range,10335.8430127191,7644.40454010103
Maximum Range,10370.0416877654,7657.07967189836
Maximum Range,10404.2171628985,7669.6482050597
Maximum Range,10438.3695202346,7682.1102363115
Maximum Range,10472.4988411517,7694.46586168457
Maximum Range,10506.6052062952,7706.71517652197
Maximum Range,10540.6886955836,7718.85827548678
Maximum Range,10574.7493882141,7730.89525256975
Maximum Range,10608.7873626682,7742.82620109698
Maximum Range,10642.8026967168,7754.65121373739
Maximum Range,10676.7954674258,7766.37038251024
Maximum Range,10710.7657511614,7777.98379879246
Maximum Range,10744.7136235954,7789.49155332604
Maximum Range,10778.6391597102,7800.8937362252
Maximum Range,10812.5424338038,7812.1904369836
Maximum Range,10846.4235194952,7823.38174448144
Maximum Range,10880.2824897294,7834.4677469925
Maximum Range,10914.1194167819,7845.44853219109
Maximum Range,10947.9343722638,7856.32418715896
Maximum Range,10981.7274271267,7867.09479839215
Maximum Range,11015.4986516676,7877.7604518077
Maximum Range,11049.248115533,7888.32123275045
Maximum Range,11082.9758877241,7898.77722599959
Maximum Range,11116.6820366013,7909.12851577532
Maximum Range,11150.3666298886,7919.37518574529
Maximum Range,11184.0297346779,7929.51731903112
Maximum Range,11217.6714174338,7939.55499821479
Maximum Range,11251.2917439979,7949.48830534496
Maximum Range,11284.8907795928,7959.31732194326
Maximum Range,11318.4685888268,7969.04212901052
Maximum Range,11352.0252356977,7978.66280703297
Maximum Range,11385.5607835974,7988.17943598829
Maximum Range,11419.0752953155,7997.59209535173
Maximum Range,11452.5688330438,8006.9008641021
Maximum Range,11486.0414583804,8016.10582072772
Maximum Range,11519.493232333,8025.20704323232
Maximum Range,11552.9242153235,8034.2046091409
Maximum Range,11586.3344671918,8043.09859550552
Maximum Range,11619.7240471993,8051.88907891107
Maximum Range,11653.0930140328,8060.57613548096
Maximum Range,11686.4414258084,8069.15984088276
Maximum Range,11719.7693400753,8077.64027033385
Maximum Range,11753.0768138189,8086.01749860693
Maximum Range,11786.3639034651,8094.29160003554
Maximum Range,11819.6306648835,8102.46264851956
Maximum Range,11852.8771533907,8110.53071753061
Maximum Range,11886.1034237545,8118.49588011743
Maximum Range,11919.3095301966,8126.35820891121
Maximum Range,11952.4955263964,8134.11777613087
Maximum Range,11985.6614654944,8141.77465358836
Maximum Range,12018.8074000953,8149.32891269379
Maximum Range,12051.9333822715,8156.78062446067
Maximum Range,12085.0394635661,8164.12985951098
Maximum Range,12118.1256949964,8171.37668808029
Maximum Range,12151.1921270569,8178.52118002277
Maximum Range,12184.2388097225,8185.56340481625
Maximum Range,12217.2657924516,8192.50343156713
Maximum Range,12250.2731241891,8199.34132901536
Maximum Range,12283.2608533695,8206.0771655393
Maximum Range,12316.2290279198,8212.71100916059
Maximum Range,12349.1776952627,8219.24292754896
Maximum Range,12382.1069023191,8225.67298802705
Maximum Range,12415.0166955116,8232.00125757512
Maximum Range,12447.9071207667,8238.22780283578
Maximum Range,12480.7782235179,8244.35269011867
Maximum Range,12513.6300487089,8250.37598540512
Maximum Range,12546.4626407956,8256.29775435276
Maximum Range,12579.2760437494,8262.11806230008
Maximum Range,12612.0703010596,8267.83697427102
Maximum Range,12644.8454557362,8273.45455497946
Maximum Range,12677.6015503127,8278.97086883372
Maximum Range,12710.3386268481,8284.385979941
Maximum Range,12743.0567269304,8289.69995211183
Maximum Range,12775.7558916782,8294.91284886446
Maximum Range,12808.4361617437,8300.02473342922
Maximum Range,12841.0975773155,8305.03566875287
Maximum Range,12873.7401781202,8309.9457175029
Maximum Range,12906.3640034257,8314.75494207182
Maximum Range,12938.9690920429,8319.4634045814
Maximum Range,12971.5554823287,8324.07116688691
Maximum Range,13004.1232121878,8328.57829058134
Maximum Range,13036.6723190754,8332.98483699954
Maximum Range,13069.2028399993,8337.29086722237
Maximum Range,13101.7148115222,8341.49644208086
Maximum Range,13134.2082697639,8345.60162216025
Maximum Range,13166.6832504039,8349.60646780413
Maximum Range,13199.1397886827,8353.51103911842
Maximum Range,13231.5779194052,8357.31539597545
Maximum Range,13263.9976769415,8361.01959801791
Maximum Range,13296.3990952302,8364.62370466288
Maximum Range,13328.7822077797,8368.12777510575
Maximum Range,13361.1470476706,8371.53186832413
Maximum Range,13393.4936475577,8374.83604308183
Maximum Range,13425.8220396721,8378.04035793266
Maximum Range,13458.132255823,8381.14487122436
Maximum Range,13490.4243273997,8384.14964110242
Maximum Range,13522.6982853737,8387.0547255139
Maximum Range,13554.9541603007,8389.86018221122
Maximum Range,13587.1919823221,8392.56606875598
Maximum Range,13619.4117811674,8395.17244252267
Maximum Range,13651.6135861557,8397.67936070248
Maximum Range,13683.7974261976,8400.08688030693
Maximum Range,13715.9633297971,8402.39505817167
Maximum Range,13748.1113250536,8404.60395096007
Maximum Range,13780.241439663,8406.71361516698
Maximum Range,13812.3537009205,8408.72410712231
Maximum Range,13844.4481357212,8410.63548299467
Maximum Range,13876.5247705628,8412.44779879501
Maximum Range,13908.5836315467,8414.16111038018
Maximum Range,13940.6247443798,8415.77547345654
Maximum Range,13972.6481343764,8417.29094358348
Maximum Range,14004.6538264596,8418.70757617701
Maximum Range,14036.6418451629,8420.02542651325
Maximum Range,14068.6122146319,8421.24454973196
Maximum Range,14100.5649586261,8422.36500084002
Maximum Range,14132.5001005201,8423.38683471493
Maximum Range,14164.4176633052,8424.31010610827
Maximum Range,14196.3176695912,8425.13486964913
Maximum Range,14228.2001416077,8425.86117984756
Maximum Range,14260.0651012058,8426.48909109801
Maximum Range,14291.9125698591,8427.01865768268
Maximum Range,14323.7425686659,8427.44993377497
Maximum Range,14355.5551183499,8427.78297344283
Maximum Range,14387.3502392623,8428.01783065211
Maximum Range,14419.1279513826,8428.15455926996
Maximum Range,14450.8882743206,8428.19321306811
Maximum Range,14482.6312273172,8428.13384572623
Maximum Range,14514.3568292463,8427.97651083523
Maximum Range,14546.0650986157,8427.72126190056
Maximum Range,14577.7560535687,8427.3681523455
Maximum Range,14609.4297118855,8426.91723551444
Maximum Range,14641.0860909842,8426.36856467613
Maximum Range,14672.7252079224,8425.72219302694
Maximum Range,14704.3470793981,8424.97817369409
Maximum Range,14735.9517217515,8424.1365597389
Maximum Range,14767.5391509657,8423.19740415997
Maximum Range,14799.1093826684,8422.16075989645
Maximum Range,14830.6624321326,8421.02667983116
Maximum Range,14862.1983142785,8419.79521679381
Maximum Range,14893.717043674,8418.46642356422
Maximum Range,14925.2186345362,8417.04035287539
Maximum Range,14956.7031007327,8415.51705741674
Maximum Range,14988.1704557824,8413.89658983721
Maximum Range,15019.6207128571,8412.17900274841
Maximum Range,15051.053884782,8410.36434872773
Maximum Range,15082.4699840374,8408.45268032151
Maximum Range,15113.8690227595,8406.44405004806
Maximum Range,15145.2510127417,8404.33851040084
Maximum Range,15176.6159654352,8402.13611385152
Maximum Range,15207.9638919507,8399.83691285305
Maximum Range,15239.294803059,8397.44095984274
Maximum Range,15270.6087091921,8394.94830724534
Maximum Range,15301.9056204446,8392.35900747608
Maximum Range,15333.1855465741,8389.67311294374
Maximum Range,15364.4484970025,8386.89067605367
Maximum Range,15395.6944808174,8384.01174921083
Maximum Range,15426.9235067722,8381.03638482282
Maximum Range,15458.1355832879,8377.9646353029
Maximum Range,15489.3307184536,8374.79655307301
Maximum Range,15520.5089200274,8371.53219056676
Maximum Range,15551.6701954378,8368.17160023242
Maximum Range,15582.8145517841,8364.71483453597
Maximum Range,15613.9419958375,8361.16194596399
Maximum Range,15645.0525340421,8357.51298702674
Maximum Range,15676.1461725158,8353.76801026105
Maximum Range,15707.222917051,8349.92706823335
Maximum Range,15738.2827731156,8345.99021354258
Maximum Range,15769.3257458538,8341.95749882318
Maximum Range,15800.3518400869,8337.82897674802
Maximum Range,15831.3610603145,8333.60470003137
Maximum Range,15862.3534107148,8329.2847214318
Maximum Range,15893.3288951458,8324.86909375513
Maximum Range,15924.2875171458,8320.3578698574
Maximum Range,15955.2292799347,8315.7511026477
Maximum Range,15986.1541864142,8311.04884509117
Maximum Range,16017.062239169,8306.25115021191
Maximum Range,16047.9534404674,8301.35807109581
Maximum Range,16078.8277922621,8296.36966089356
Maximum Range,16109.6852961908,8291.28597282346
Maximum Range,16140.5259535775,8286.1070601744
Maximum Range,16171.3497654325,8280.83297630865
Maximum Range,16202.1567324534,8275.46377466486
Maximum Range,16232.9468550262,8269.99950876086
Maximum Range,16263.7201332255,8264.44023219655
