Simulation:,Air Resistance
Trajectory,X,Y
Angle 45,11710.1582451843,7376.7526663892
Angle 45,11738.2354327789,7379.42523347384
Angle 45,11766.2809447048,7381.99678546485
Angle 45,11794.2948626203,7384.46744053459
Angle 45,11822.2772675058,7386.83731634911
Angle 45,11850.2282396663,7389.10653007454
Angle 45,11878.1478587356,7391.2751983835
Angle 45,11906.0362036788,7393.34343746139
Angle 45,11933.8933527957,7395.3113630127
Angle 45,11961.719383724,7397.17909026734
Angle 45,11989.5143734428,7398.94673398685
Angle 45,12017.2783982752,7400.61440847062
Angle 45,12045.0115338919,7402.18222756213
Angle 45,12072.7138553143,7403.65030465509
Angle 45,12100.3854369174,7405.01875269957
Angle 45,12128.0263524332,7406.28768420814
Angle 45,12155.6366749538,7407.45721126194
Angle 45,12183.2164769344,7408.52744551674
Angle 45,12210.7658301965,7409.49849820899
Angle 45,12238.284805931,7410.37048016176
Angle 45,12265.7734747012,7411.14350179078
Angle 45,12293.2319064462,7411.81767311036
Angle 45,12320.6601704834,7412.39310373931
Angle 45,12348.0583355121,7412.8699029068
Angle 45,12375.4264696166,7413.24817945829
Angle 45,12402.7646402688,7413.52804186128
Angle 45,12430.0729143317,7413.7095982112
Angle 45,12457.3513580619,7413.79295623711
Angle 45,12484.6000371135,7413.77822330751
Angle 45,12511.8190165404,7413.66550643602
Angle 45,12539.0083607995,7413.45491228711
Angle 45,12566.168133754,7413.14654718175
Angle 45,12593.298398676,7412.74051710303
Angle 45,12620.3992182501,7412.23692770179
Angle 45,12647.4706545757,7411.63588430222
Angle 45,12674.5127691705,7410.93749190736
Angle 45,12701.5256229735,7410.14185520469
Angle 45,12728.5092763476,7409.24907857156
Angle 45,12755.4637890831,7408.25926608071
Angle 45,12782.3892204004,7407.1725215057
Angle 45,12809.2856289529,7405.98894832631
Angle 45,12836.1530728303,7404.70864973391
Angle 45,12862.9916095615,7403.33172863685
Angle 45,12889.8012961171,7401.85828766576
Angle 45,12916.5821889132,7400.28842917886
Angle 45,12943.3343438137,7398.62225526722
Angle 45,12970.0578161336,7396.85986775998
Angle 45,12996.7526606417,7395.00136822963
Angle 45,13023.418931564,7393.04685799708
Angle 45,13050.0566825862,7390.99643813693
Angle 45,13076.665966857,7388.8502094825
Angle 45,13103.2468369909,7386.60827263098
Angle 45,13129.799345071,7384.27072794845
Angle 45,13156.3235426522,7381.83767557496
Angle 45,13182.8194807644,7379.30921542951
Angle 45,13209.2872099146,7376.68544721501
Angle 45,13235.7267800908,7373.96647042325
Angle 45,13262.1382407643,7371.1523843398
Angle 45,13288.521640893,7368.24328804892
Angle 45,13314.8770289241,7365.23928043838
Angle 45,13341.2044527972,7362.14046020429
Angle 45,13367.5039599473,7358.94692585592
Angle 45,13393.7755973075,7355.65877572045
Angle 45,13420.0194113122,7352.27610794769
Angle 45,13446.2354478998,7348.7990205148
Angle 45,13472.4237525159,7345.22761123095
Angle 45,13498.5843701159,7341.56197774197
Angle 45,13524.7173451683,7337.80221753494
Angle 45,13550.8227216573,7333.94842794283
Angle 45,13576.9005430861,7330.00070614894
Angle 45,13602.9508524795,7325.95914919152
Angle 45,13628.973692387,7321.82385396822
Angle 45,13654.9691048855,7317.5949172405
Angle 45,13680.9371315828,7313.27243563812
Angle 45,13706.8778136198,7308.85650566348
Angle 45,13732.791191674,7304.34722369602
Angle 45,13758.6773059621,7299.74468599651
Angle 45,13784.536196243,7295.04898871136
Angle 45,13810.3679018208,7290.26022787689
Angle 45,13836.1724615478,7285.37849942354
Angle 45,13861.949913827,7280.40389918009
Angle 45,13887.7002966158,7275.3365228778
Angle 45,13913.4236474279,7270.17646615459
Angle 45,13939.1200033373,7264.92382455909
Angle 45,13964.7894009803,7259.57869355473
Angle 45,13990.4318765591,7254.14116852376
Angle 45,14016.0474658442,7248.6113447713
Angle 45,14041.6362041778,7242.98931752924
Angle 45,14067.1981264762,7237.27518196023
Angle 45,14092.7332672331,7231.46903316158
Angle 45,14118.2416605226,7225.57096616908
Angle 45,14143.7233400016,7219.58107596089
Angle 45,14169.1783389132,7213.49945746135
Angle 45,14194.6066900895,7207.32620554468
Angle 45,14220.0084259543,7201.06141503882
Angle 45,14245.3835785262,7194.70518072902
Angle 45,14270.7321794215,7188.25759736161
Angle 45,14296.054259857,7181.71875964757
Angle 45,14321.3498506531,7175.08876226618
Angle 45,14346.6189822365,7168.36769986852
Angle 45,14371.8616846432,7161.55566708111
Angle 45,14397.0779875213,7154.65275850929
Angle 45,14422.267920134,7147.65906874079
Angle 45,14447.4315113626,7140.57469234909
Angle 45,14472.568789709,7133.39972389687
Angle 45,14497.6797832991,7126.13425793934
Angle 45,14522.7645198853,7118.7783890276
Angle 45,14547.8230268496,7111.33221171189
Angle 45,14572.8553312064,7103.7958205449
Angle 45,14597.8614596052,7096.16931008499
Angle 45,14622.8414383339,7088.45277489936
Angle 45,14647.7952933214,7080.64630956722
Angle 45,14672.7230501404,7072.75000868292
Angle 45,14697.6247340104,7064.76396685904
Angle 45,14722.5003698007,7056.68827872945
Angle 45,14747.349982033,7048.52303895231
Angle 45,14772.1735948843,7040.2683422131
Angle 45,14796.9712321899,7031.9242832275
Angle 45,14821.7429174463,7023.49095674441
Angle 45,14846.4886738138,7014.96845754874
Angle 45,14871.2085241195,7006.35688046432
Angle 45,14895.90249086,6997.65632035667
Angle 45,14920.5705962047,6988.86687213582
Angle 45,14945.2128619979,6979.98863075904
Angle 45,14969.8293097622,6971.02169123356
Angle 45,14994.4199607013,6961.96614861922
Angle 45,15018.9848357023,6952.82209803115
Angle 45,15043.5239553394,6943.58963464236
Angle 45,15068.0373398757,6934.2688536863
Angle 45,15092.5250092667,6924.85985045946
Angle 45,15116.9869831631,6915.36272032378
Angle 45,15141.4232809132,6905.7775587092
Angle 45,15165.8339215658,6896.1044611161
Angle 45,15190.2189238734,6886.34352311762
Angle 45,15214.5783062945,6876.49484036213
Angle 45,15238.9120869965,6866.55850857551
Angle 45,15263.2202838587,6856.53462356346
Angle 45,15287.5029144746,6846.42328121377
Angle 45,15311.7599961553,6836.22457749854
Angle 45,15335.9915459317,6825.93860847644
Angle 45,15360.1975805573,6815.56547029477
Angle 45,15384.3781165115,6805.10525919171
Angle 45,15408.5331700016,6794.5580714983
Angle 45,15432.662756966,6783.92400364063
Angle 45,15456.7668930766,6773.20315214177
Angle 45,15480.845593742,6762.3956136238
Angle 45,15504.8988741097,6751.50148480982
Angle 45,15528.926749069,6740.52086252581
Angle 45,15552.9292332537,6729.45384370257
Angle 45,15576.906341045,6718.3005253776
Angle 45,15600.8580865737,6707.06100469688
Angle 45,15624.7844837232,6695.73537891673
Angle 45,15648.6855461323,6684.32374540552
Angle 45,15672.5612871975,6672.82620164547
Angle 45,15696.4117200759,6661.24284523428
Angle 45,15720.2368576876,6649.57377388687
Angle 45,15744.0367127187,6637.81908543695
Angle 45,15767.8112976236,6625.97887783868
Angle 45,15791.5606246279,6614.05324916823
Angle 45,15815.2847057307,6602.04229762528
Angle 45,15838.9835527075,6589.94612153459
Angle 45,15862.6571771124,6577.76481934746
Angle 45,15886.3055902812,6565.49848964313
Angle 45,15909.9288033336,6553.14723113026
Angle 45,15933.5268271758,6540.71114264829
Angle 45,15957.0996725035,6528.19032316877
Angle 45,15980.6473498036,6515.5848717967
Angle 45,16004.1698693575,6502.89488777183
Angle 45,16027.6672412434,6490.1204704699
Angle 45,16051.1394753387,6477.2617194039
Angle 45,16074.5865813225,6464.3187342252
Angle 45,16098.0085686784,6451.29161472482
Angle 45,16121.4054466967,6438.18046083447
Angle 45,16144.777224477,6424.98537262774
Angle 45,16168.1239109305,6411.70645032109
Angle 45,16191.4455147829,6398.34379427501
Angle 45,16214.7420445764,6384.89750499492
Angle 45,16238.0135086722,6371.36768313225
Angle 45,16261.2599152534,6357.75442948536
Angle 45,16284.4812723266,6344.05784500047
Angle 45,16307.6775877253,6330.2780307726
Angle 45,16330.8488691114,6316.41508804637
Angle 45,16353.9951239781,6302.46911821694
Angle 45,16377.1163596522,6288.44022283074
Angle 45,16400.2125832964,6274.32850358631
Angle 45,16423.2838019118,6260.13406233505
Angle 45,16446.33002234,6245.85700108194
Angle 45,16469.3512512656,6231.49742198628
Angle 45,16492.3474952185,6217.05542736231
Angle 45,16515.3187605765,6202.5311196799
Angle 45,16538.2650535669,6187.9246015652
Angle 45,16561.1863802695,6173.23597580116
Angle 45,16584.0827466186,6158.46534532816
Angle 45,16606.9541584053,6143.61281324453
Angle 45,16629.8006212796,6128.6784828071
Angle 45,16652.6221407529,6113.66245743161
Angle 45,16675.4187222001,6098.56484069328
Angle 45,16698.1903708619,6083.38573632715
Angle 45,16720.937091847,6068.12524822857
Angle 45,16743.6588901343,6052.78348045355
Angle 45,16766.3557705748,6037.36053721911
Angle 45,16789.0277378943,6021.85652290365
Angle 45,16811.6747966954,6006.27154204726
Angle 45,16834.2969514594,5990.60569935195
Angle 45,16856.8942065486,5974.85909968201
Angle 45,16879.4665662085,5959.03184806417
Angle 45,16902.0140345698,5943.12404968783
Angle 45,16924.5366156508,5927.1358099053
Angle 45,16947.0343133591,5911.0672342319
Angle 45,16969.5071314938,5894.91842834613
Angle 45,16991.9550737477,5878.68949808982
Angle 45,17014.3781437094,5862.38054946818
Angle 45,17036.776344865,5845.99168864991
Angle 45,17059.1496806005,5829.52302196722
Angle 45,17081.4981542037,5812.97465591589
Angle 45,17103.8217688662,5796.34669715527
Angle 45,17126.1205276854,5779.63925250824
Angle 45,17148.3944336665,5762.85242896121
Angle 45,17170.6434897243,5745.98633366403
Angle 45,17192.8676986855,5729.04107392994
Angle 45,17215.0670632905,5712.01675723544
Angle 45,17237.241586195,5694.91349122017
Angle 45,17259.3912699727,5677.73138368681
Angle 45,17281.5161171162,5660.47054260084
Angle 45,17303.6161300399,5643.13107609044
Angle 45,17325.6913110811,5625.71309244621
Angle 45,17347.7416625024,5608.216700121
Angle 45,17369.7671864932,5590.64200772964
Angle 45,17391.7678851717,5572.98912404867
Angle 45,17413.7437605869,5555.25815801608
Angle 45,17435.6948147201,5537.44921873099
Angle 45,17457.621049487,5519.56241545332
Angle 45,17479.5224667391,5501.59785760349
Angle 45,17501.399068266,5483.55565476201
Angle 45,17523.2508557968,5465.43591666913
Angle 45,17545.077831002,5447.23875322442
Angle 45,17566.8799954954,5428.96427448642
Angle 45,17588.6573508353,5410.6125906721
Angle 45,17610.4098985268,5392.18381215654
Angle 45,17632.1376400233,5373.67804947234
Angle 45,17653.8405767281,5355.09541330922
Angle 45,17675.5187099961,5336.43601451349
Angle 45,17697.1720411358,5317.69996408751
Angle 45,17718.8005714103,5298.88737318922
Angle 45,17740.4043020398,5279.99835313149
Angle 45,17761.9832342023,5261.03301538167
Angle 45,17783.537369036,5241.9914715609
Angle 45,17805.0667076404,5222.87383344358
Angle 45,17826.5712510782,5203.68021295672
Angle 45,17848.0510003769,5184.41072217933
