Simulation:,No Air Resistance
Trajectory,X,Y
Angle 45,13166.3282656935,9712.31826569346
Angle 45,13215.8257403765,9735.74774037651
Angle 45,13265.3232150596,9759.07921505957
Angle 45,13314.8206897426,9782.31268974263
Angle 45,13364.3181644257,9805.44816442569
Angle 45,13413.8156391087,9828.48563910875
Angle 45,13463.3131137918,9851.42511379181
Angle 45,13512.8105884749,9874.26658847486
Angle 45,13562.3080631579,9897.01006315792
Angle 45,13611.805537841,9919.65553784098
Angle 45,13661.303012524,9942.20301252404
Angle 45,13710.8004872071,9964.6524872071
Angle 45,13760.2979618902,9987.00396189016
Angle 45,13809.7954365732,10009.2574365732
Angle 45,13859.2929112563,10031.4129112563
Angle 45,13908.7903859393,10053.4703859393
Angle 45,13958.2878606224,10075.4298606224
Angle 45,14007.7853353054,10097.2913353054
Angle 45,14057.2828099885,10119.0548099885
Angle 45,14106.7802846716,10140.7202846716
Angle 45,14156.2777593546,10162.2877593546
Angle 45,14205.7752340377,10183.7572340377
Angle 45,14255.2727087207,10205.1287087207
Angle 45,14304.7701834038,10226.4021834038
Angle 45,14354.2676580868,10247.5776580868
Angle 45,14403.7651327699,10268.6551327699
Angle 45,14453.262607453,10289.634607453
Angle 45,14502.760082136,10310.516082136
Angle 45,14552.2575568191,10331.2995568191
Angle 45,14601.7550315021,10351.9850315021
Angle 45,14651.2525061852,10372.5725061852
Angle 45,14700.7499808682,10393.0619808682
Angle 45,14750.2474555513,10413.4534555513
Angle 45,14799.7449302344,10433.7469302344
Angle 45,14849.2424049174,10453.9424049174
Angle 45,14898.7398796005,10474.0398796005
Angle 45,14948.2373542835,10494.0393542835
Angle 45,14997.7348289666,10513.9408289666
Angle 45,15047.2323036496,10533.7443036497
Angle 45,15096.7297783327,10553.4497783327
Angle 45,15146.2272530158,10573.0572530158
Angle 45,15195.7247276988,10592.5667276988
Angle 45,15245.2222023819,10611.9782023819
Angle 45,15294.7196770649,10631.2916770649
Angle 45,15344.217151748,10650.507151748
Angle 45,15393.7146264311,10669.6246264311
Angle 45,15443.2121011141,10688.6441011141
Angle 45,15492.7095757972,10707.5655757972
Angle 45,15542.2070504802,10726.3890504802
Angle 45,15591.7045251633,10745.1145251633
Angle 45,15641.2019998463,10763.7419998464
Angle 45,15690.6994745294,10782.2714745294
Angle 45,15740.1969492125,10800.7029492125
Angle 45,15789.6944238955,10819.0364238955
Angle 45,15839.1918985786,10837.2718985786
Angle 45,15888.6893732616,10855.4093732616
Angle 45,15938.1868479447,10873.4488479447
Angle 45,15987.6843226277,10891.3903226278
Angle 45,16037.1817973108,10909.2337973108
Angle 45,16086.6792719939,10926.9792719939
Angle 45,16136.1767466769,10944.6267466769
Angle 45,16185.67422136,10962.17622136
Angle 45,16235.171696043,10979.627696043
Angle 45,16284.6691707261,10996.9811707261
Angle 45,16334.1666454091,11014.2366454092
Angle 45,16383.6641200922,11031.3941200922
Angle 45,16433.1615947753,11048.4535947753
Angle 45,16482.6590694583,11065.4150694583
Angle 45,16532.1565441414,11082.2785441414
